Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Nontumor_stage Columns
189	bla	0.19230769230769232	0.10619918699186992
190	or_	0.6923076923076923	0.22103658536585366
191	-70	0.038461538461538464	0.00508130081300813
192	dis	0.4230769230769231	0.11128048780487805
193	5-_	0.038461538461538464	0.0010162601626016261
194	-di	0.07692307692307693	0.002540650406504065
195	1k_	0.038461538461538464	0.0
196	sr)	0.038461538461538464	0.0
197	t4b	0.11538461538461539	0.0
198	37_	0.15384615384615385	0.07926829268292683
199	seq	0.19230769230769232	0.10315040650406504
200	her	0.07692307692307693	0.07266260162601626
201	n-4	0.038461538461538464	0.0010162601626016261
202	7m_	0.038461538461538464	0.0010162601626016261
203	deo	0.038461538461538464	0.0
204	ema	0.46153846153846156	0.10060975609756098
205	10_	0.38461538461538464	0.17378048780487804
206	t95	0.038461538461538464	0.0005081300813008131
207	r_s	0.34615384615384615	0.03404471544715447
208	l_t	0.23076923076923078	0.5147357723577236
209	-82	0.038461538461538464	0.0020325203252032522
210	29m	0.038461538461538464	0.0010162601626016261
211	1-i	0.038461538461538464	0.001524390243902439
212	urr	0.038461538461538464	0.0010162601626016261
213	oll	0.038461538461538464	0.027439024390243903
214	%_t	0.038461538461538464	0.0
215	enc	0.15384615384615385	0.033028455284552845
216	-mt	0.038461538461538464	0.0005081300813008131
217	ii_	0.19230769230769232	0.012703252032520325
218	g3b	0.038461538461538464	0.0005081300813008131
219	bn1	0.038461538461538464	0.0
220	ase	0.46153846153846156	0.15040650406504066
221	for	0.11538461538461539	0.08384146341463415
222	n_c	0.15384615384615385	0.06605691056910569
223	pan	0.11538461538461539	0.03861788617886179
224	sue	0.8076923076923077	0.38160569105691056
225	uva	0.038461538461538464	0.0020325203252032522
226	oma	0.3076923076923077	0.20223577235772358
227	jux	0.038461538461538464	0.0005081300813008131
228	ne1	0.038461538461538464	0.002540650406504065
229	pda	0.07692307692307693	0.014735772357723578
230	nt1	0.038461538461538464	0.007113821138211382
231	nch	0.11538461538461539	0.024390243902439025
232	iv_	0.15384615384615385	0.010670731707317074
