Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Non tumor_stage Columns
48	1b1	0.038461538461538464	0.0002857959416976279
49	ade	0.07692307692307693	0.012003429551300371
50	t1(	0.038461538461538464	0.0
51	dis	0.23076923076923078	0.02572163475278651
52	an1	0.07692307692307693	0.0002857959416976279
53	le_	0.07692307692307693	0.2608364294560351
54	v_g	0.038461538461538464	0.00047632656949604646
55	go_	0.038461538461538464	0.0007621225111936744
56	g)_	0.038461538461538464	0.0009526531389920929
57	tum	0.34615384615384615	0.02438792035819758
58	t1c	0.07692307692307693	0.0001905306277984186
59	bn1	0.038461538461538464	0.0
60	de_	0.07692307692307693	0.011050776412308278
61	i_o	0.038461538461538464	0.0003810612555968372
62	3n1	0.11538461538461539	0.0002857959416976279
63	gra	0.07692307692307693	0.013813470515385349
64	igo	0.038461538461538464	0.0009526531389920929
65	tnm	0.07692307692307693	0.0
66	4n2	0.11538461538461539	0.0001905306277984186
67	bn2	0.07692307692307693	0.0
68	(g3	0.038461538461538464	9.52653138992093e-05
69	rad	0.07692307692307693	0.004572735067162046
70	n_s	0.038461538461538464	0.015242450223873487
71	ast	0.07692307692307693	0.06030294369819949
72	t_s	0.038461538461538464	0.0174335524435553
73	3a_	0.038461538461538464	0.0036200819281699535
74	pt3	0.11538461538461539	0.0005715918833952558
75	1c_	0.038461538461538464	0.0019053062779841859
76	r_t	0.038461538461538464	0.012003429551300371
77	dif	0.038461538461538464	0.012003429551300371
78	)n0	0.038461538461538464	0.0
79	2an	0.07692307692307693	0.0
80	3)n	0.038461538461538464	0.0
81	c_(	0.038461538461538464	0.0019053062779841859
82	e_s	0.23076923076923078	0.020958369057826047
83	las	0.07692307692307693	0.04267886062684577
84	se_	0.2692307692307692	0.04096408497666
85	a_g	0.038461538461538464	0.0014289797084881394
86	agi	0.038461538461538464	0.0017147756501857674
87	2a_	0.07692307692307693	0.00400114318376679
88	fus	0.038461538461538464	0.002857959416976279
89	tle	0.0	0.1906258931123178
90	ic_	0.11538461538461539	0.06020767838430028
91	b_n	0.038461538461538464	0.0003810612555968372
92	mpl	0.038461538461538464	0.03143755358673907
93	2b_	0.07692307692307693	0.004572735067162046
94	or_	0.34615384615384615	0.06582833190435362
95	cta	0.038461538461538464	0.008764408878727255
96	e_n	0.0	0.17509764694674668
97	ise	0.23076923076923078	0.023244736591407068
98	nan	0.0	0.0038106125559683717
99	bn3	0.038461538461538464	0.0
100	ase	0.23076923076923078	0.036200819281699534
101	0mx	0.038461538461538464	0.0
102	??_	0.038461538461538464	0.0
103	ent	0.0	0.13680099075926455
104	v)_	0.038461538461538464	0.0005715918833952558
105	m0?	0.038461538461538464	0.0
106	t2b	0.07692307692307693	0.0
107	pt1	0.07692307692307693	0.0006668571972944651
108	b1_	0.038461538461538464	0.007621225111936743
109	no_	0.07692307692307693	0.013813470515385349
110	?_c	0.038461538461538464	0.0
111	3n3	0.038461538461538464	9.52653138992093e-05
112	1m1	0.11538461538461539	9.52653138992093e-05
113	n3m	0.15384615384615385	0.0
114	o_s	0.038461538461538464	0.00943126607602172
115	ivb	0.038461538461538464	0.0
116	og_	0.038461538461538464	0.0014289797084881394
117	al_	0.038461538461538464	0.13870629703724874
118	4nx	0.038461538461538464	0.0
119	eas	0.23076923076923078	0.03924930932647423
120	b??	0.038461538461538464	0.0
121	itl	0.0	0.18986377060112414
122	g3)	0.038461538461538464	0.0001905306277984186
123	iff	0.038461538461538464	0.011908164237401162
124	ell	0.0	0.2909402686481852
125	elo	0.0	0.009050204820424883
126	e_0	0.038461538461538464	0.0018100409640849767
127	4n0	0.11538461538461539	0.0
128	o_e	0.038461538461538464	0.0020958369057826045
129	t1n	0.07692307692307693	9.52653138992093e-05
130	e_o	0.038461538461538464	0.008954939506525674
131	pe_	0.07692307692307693	0.15309135943602933
132	36h	0.0	0.0006668571972944651
133	tic	0.038461538461538464	0.029722777936553302
134	tit	0.0	0.1934838525292941
135	sia	0.038461538461538464	0.005239592264456512
136	iva	0.038461538461538464	0.006096980089549395
137	iob	0.038461538461538464	0.002953224730875488
138	sea	0.23076923076923078	0.023816328474802324
139	ure	0.0	0.021529960941221303
140	t0n	0.07692307692307693	0.0
141	ype	0.07692307692307693	0.15251976755263408
142	ue_	0.0	0.08326188434790893
143	ng)	0.038461538461538464	0.0002857959416976279
144	t3b	0.07692307692307693	0.0
145	ana	0.038461538461538464	0.004382204439363628
146	3m0	0.11538461538461539	0.0
147	ncy	0.0	0.001238449080689721
148	r_i	0.038461538461538464	0.003905877869867581
149	nxm	0.038461538461538464	0.0
150	3bn	0.07692307692307693	0.0
151	cno	0.038461538461538464	0.0
152	asi	0.038461538461538464	0.008288082309231209
153	ple	0.038461538461538464	0.03953510526817186
154	1b2	0.038461538461538464	0.0002857959416976279
155	3n2	0.07692307692307693	0.0002857959416976279
156	#10	0.038461538461538464	0.0003810612555968372
157	tro	0.0	0.08345241497570735
158	ffu	0.038461538461538464	0.0010479184528913023
159	1b_	0.038461538461538464	0.0027626941030770694
160	ct3	0.11538461538461539	0.0007621225111936744
161	ide	0.038461538461538464	0.016861960560160046
162	sam	0.038461538461538464	0.03000857387825093
163	g_s	0.038461538461538464	0.005525388206154139
164	nor	0.038461538461538464	0.0358197580261027
165	eta	0.038461538461538464	0.016766695246260836
166	t4_	0.038461538461538464	0.003239020672573116
167	ile	0.0	0.004382204439363628
168	ddi	0.0	0.0011431837667905116
169	4a_	0.038461538461538464	0.002000571591883395
170	ted	0.0	0.06535200533485758
171	ime	0.038461538461538464	0.02429265504429837
172	eve	0.0	0.007430694484138326
173	enc	0.038461538461538464	0.010193388587215396
174	cut	0.0	0.005715918833952558
175	tas	0.038461538461538464	0.005239592264456512
176	1cn	0.038461538461538464	9.52653138992093e-05
177	a_c	0.038461538461538464	0.02991330856435172
178	ho_	0.0	0.0008573878250928837
179	iom	0.038461538461538464	0.014766123654377442
180	3mo	0.038461538461538464	0.0
181	5_5	0.0	0.0005715918833952558
182	ing	0.038461538461538464	0.03248547203963037
183	ame	0.0	0.18024197389730398
184	xm0	0.038461538461538464	0.0
185	na_	0.038461538461538464	0.049537963227588834
186	15-	0.0	0.004286939125464418
187	amp	0.038461538461538464	0.03143755358673907
188	mx_	0.038461538461538464	9.52653138992093e-05
189	2h_	0.0	0.005620653520053348
190	ma_	0.07692307692307693	0.047918452891302275
191	sel	0.0	0.003429551300371535
192	24h	0.0	0.010193388587215396
193	lt_	0.038461538461538464	0.00685910260074307
194	adu	0.0	0.006192245403448604
195	lop	0.0	0.0027626941030770694
196	ce_	0.07692307692307693	0.1822425454891874
197	obl	0.038461538461538464	0.026769553205677813
198	t3_	0.07692307692307693	0.007335429170239116
199	81_	0.0	0.01600457273506716
200	1(g	0.038461538461538464	0.0
201	ter	0.0	0.04067828903496237
202	sto	0.038461538461538464	0.01219396017909879
203	e-s	0.0	0.0007621225111936744
204	reg	0.0	0.004763265694960465
205	gli	0.07692307692307693	0.007049633228541488
206	eti	0.0	0.012860817376393255
207	a_t	0.0	0.007240163856339907
208	bla	0.038461538461538464	0.03200914547013432
209	gin	0.038461538461538464	0.005811184147851767
210	ct4	0.07692307692307693	0.0006668571972944651
211	4an	0.038461538461538464	0.0
212	tom	0.038461538461538464	0.012765552062494046
213	sci	0.0	0.003715347242069163
214	0?_	0.038461538461538464	0.0
215	vid	0.038461538461538464	0.013908735829284558
216	1n0	0.07692307692307693	0.0
217	rma	0.038461538461538464	0.023721063160903114
218	6h_	0.0	0.004858531008859674
219	urc	0.0	0.17347813661046013
220	nm_	0.07692307692307693	0.007811755739735162
221	man	0.0	0.061350862151090785
222	nam	0.0	0.17566923883014193
223	tio	0.0	0.06487567876536153
224	ver	0.0	0.028198532914165953
225	imm	0.0	0.007335429170239116
226	ult	0.0	0.026483757263980185
227	orm	0.038461538461538464	0.02419738973039916
228	tor	0.0	0.025340573497189673
229	04r	0.038461538461538464	9.52653138992093e-05
230	dev	0.0	0.002286367533581023
231	non	0.038461538461538464	0.028960655425359628
232	vel	0.0	0.003905877869867581
233	en_	0.038461538461538464	0.013241878631990093
234	men	0.038461538461538464	0.08192816995332
235	ssu	0.0	0.0828808230923121
236	3b_	0.038461538461538464	0.002857959416976279
237	nap	0.038461538461538464	0.0013337143945889303
238	use	0.038461538461538464	0.010002857959416977
239	ker	0.0	0.00676383728684386
240	lig	0.0	0.004191673811565209
241	i_p	0.0	0.0005715918833952558
242	ng_	0.0	0.043440983138039437
243	(st	0.038461538461538464	0.0002857959416976279
244	m_s	0.038461538461538464	0.005906449461750976
245	71_	0.0	0.016766695246260836
246	e_a	0.038461538461538464	0.010860245784509859
247	xpb	0.0	9.52653138992093e-05
248	pec	0.038461538461538464	0.004763265694960465
249	qui	0.0	0.002286367533581023
250	ssa	0.0	0.011812898923501952
251	din	0.0	0.004096408497666
252	pt2	0.07692307692307693	0.0010479184528913023
253	pre	0.0	0.029341716680956465
254	ntr	0.0	0.08726302753167571
255	/pr	0.0	0.001238449080689721
256	sou	0.0	0.1731923406687625
257	rce	0.0	0.17443078974945223
258	pt4	0.038461538461538464	0.00047632656949604646
259	ep2	0.0	0.028198532914165953
260	nce	0.038461538461538464	0.03982090120986949
261	26_	0.0	0.026197961322282557
262	te_	0.0	0.05868343336191293
263	f_a	0.038461538461538464	0.0018100409640849767
264	me_	0.0	0.19205487282080594
265	e_r	0.0	0.009812327331618558
266	052	0.0	0.004572735067162046
267	ee_	0.0	0.002953224730875488
268	pla	0.038461538461538464	0.01790987901305135
269	hum	0.0	0.05611126988663428
270	ion	0.0	0.07954653710583977
271	opm	0.0	0.002572163475278651
272	43m	0.0	0.0003810612555968372
273	(#1	0.038461538461538464	9.52653138992093e-05
274	ne_	0.038461538461538464	0.15128131847194437
275	tgt	0.0	0.0009526531389920929
276	yct	0.038461538461538464	0.0002857959416976279
277	l_l	0.0	0.1230827855577784
278	eni	0.0	0.014194531770982186
279	oin	0.0	0.008478612937029627
280	pha	0.0	0.011336572354005906
281	id_	0.0	0.030675431075545392
282	lat	0.0	0.028198532914165953
283	cel	0.0	0.2868438601505192
284	2m1	0.038461538461538464	0.0
285	5-1	0.0	0.003429551300371535
286	3t1	0.0	0.0003810612555968372
287	e5c	0.0	9.52653138992093e-05
288	ect	0.0	0.05315804515575879
289	y_1	0.0	0.005811184147851767
290	-co	0.0	0.007335429170239116
291	pli	0.038461538461538464	0.018767266838144232
292	e_(	0.0	0.008669143564828046
293	gtt	0.0	0.0010479184528913023
294	ass	0.0	0.014861388968276651
295	50_	0.0	0.022101552824616556
296	scl	0.0	0.008288082309231209
297	los	0.0	0.002476898161379442
298	our	0.038461538461538464	0.1833857292559779
299	0_o	0.038461538461538464	0.0013337143945889303
300	ine	0.0	0.13803943983995426
301	tis	0.0	0.08678670096217966
302	fsa	0.0	0.0002857959416976279
303	67_	0.0	0.01905306277984186
304	1(#	0.038461538461538464	0.0
305	is_	0.0	0.022196818138515765
306	anc	0.0	0.04134514623225684
307	loi	0.0	0.004477469753262837
308	pub	0.0	0.005144326950557302
309	exp	0.0	0.01886253215204344
310	ctl	0.0	0.002191102219681814
311	agn	0.0	0.006192245403448604
312	o1_	0.0	0.004286939125464418
313	met	0.038461538461538464	0.014480327712679814
314	73_	0.0	0.01629036867676479
315	tus	0.0	0.011527102981804324
316	104	0.038461538461538464	0.009050204820424883
317	ovo	0.0	0.0008573878250928837
318	mo_	0.038461538461538464	0.008288082309231209
319	lko	0.0	0.0010479184528913023
320	don	0.0	0.016957225874059255
321	o14	0.0	0.0007621225111936744
322	tfi	0.0	0.0005715918833952558
323	gk3	0.0	0.0002857959416976279
324	i_(	0.038461538461538464	0.0003810612555968372
325	tur	0.0	0.020863103743926838
326	ock	0.0	0.024864246927693626
327	4h_	0.0	0.008288082309231209
328	sag	0.0	0.010955511098409068
329	l_+	0.0	0.0008573878250928837
330	5b-	0.0	0.0002857959416976279
331	iag	0.0	0.00685910260074307
332	rel	0.0	0.0020958369057826045
333	pri	0.0	0.021053634371725256
334	ct0	0.038461538461538464	9.52653138992093e-05
335	1a_	0.0	0.005049061636658093
336	ive	0.0	0.059636086500905024
337	ser	0.0	0.007240163856339907
338	re_	0.0	0.027817471658569116
339	ctx	0.0	0.0001905306277984186
340	-st	0.0	0.0030484900447746975
341	e_m	0.0	0.021529960941221303
342	tal	0.0	0.03629608459559874
343	lap	0.0	0.002953224730875488
344	mal	0.038461538461538464	0.06001714775650186
345	1d_	0.0	0.002000571591883395
346	t21	0.0	0.0006668571972944651
347	eq_	0.0	0.01790987901305135
348	rs_	0.0	0.019719919977136326
349	icr	0.0	0.006573306659045442
350	bet	0.0	0.005525388206154139
351	n4_	0.0	0.0008573878250928837
352	rep	0.0	0.055253882061541394
353	hig	0.0	0.007811755739735162
354	yy_	0.0	0.0001905306277984186
355	lbo	0.0	0.0006668571972944651
356	11_	0.0	0.04439363627703153
357	0a_	0.0	0.005049061636658093
358	ged	0.0	0.0018100409640849767
359	n1_	0.038461538461538464	0.005715918833952558
360	3_m	0.0	0.004477469753262837
361	iic	0.07692307692307693	0.0
362	lit	0.0	0.002572163475278651
363	fet	0.0	0.005049061636658093
364	scr	0.0	0.017243021815756883
365	ona	0.0	0.008288082309231209
366	058	0.0	0.004668000381061256
367	t_m	0.0	0.005525388206154139
368	hro	0.0	0.006192245403448604
369	anb	0.0	0.0003810612555968372
370	ko_	0.0	0.011622368295703534
371	uma	0.0	0.05763551490902163
372	ypt	0.07692307692307693	0.0005715918833952558
373	ipn	0.0	0.0001905306277984186
