Importance	Ngram	Frequency in sex Columns	Frequency in Nonsex Columns
240	pat	0.2056451612903226	0.10589582140812821
241	toc	0.06451612903225806	0.030910131654264452
242	rol	0.1935483870967742	0.2661705781339439
243	117	0.08064516129032258	0.018317115054378934
244	om_	0.2701612903225806	0.08013737836290784
245	i00	0.008064516129032258	0.0011448196908986834
246	x-d	0.004032258064516129	0.0005724098454493417
247	uni	0.056451612903225805	0.022323983972524327
248	66_	0.16532258064516128	0.044647967945048654
249	96_	0.10080645161290322	0.03319977103606182
250	in_	0.2620967741935484	0.16943331425300515
251	64_	0.15725806451612903	0.0412135088723526
252	ali	0.06854838709677419	0.044647967945048654
253	106	0.0967741935483871	0.02003434459072696
254	atu	0.11290322580645161	0.05094447624499141
255	spa	0.04435483870967742	0.0034344590726960505
256	pan	0.09274193548387097	0.03205495134516314
257	231	0.06451612903225806	0.03777904979965655
258	ic_	0.2862903225806452	0.1986262163709216
259	k10	0.016129032258064516	0.0028620492272467086
260	l_c	0.14919354838709678	0.19118488838008013
261	65_	0.15725806451612903	0.04693760732684602
262	012	0.0846774193548387	0.01659988551803091
263	2_+	0.008064516129032258	0.0017172295363480253
264	l_s	0.11693548387096774	0.08471665712650257
265	thy	0.14919354838709678	0.06525472238122496
266	120	0.10483870967741936	0.02289639381797367
267	gan	0.04838709677419355	0.030910131654264452
268	t3_	0.04435483870967742	0.025186033199771037
269	7_d	0.016129032258064516	0.014882655981682884
270	ga0	0.008064516129032258	0.0
271	bon	0.04838709677419355	0.024041213508872353
272	bla	0.14112903225806453	0.10246136233543217
273	uda	0.024193548387096774	0.0
274	lon	0.0967741935483871	0.05151688609044076
275	52_	0.17338709677419356	0.04751001717229536
276	geo	0.016129032258064516	0.005724098454493417
277	99_	0.11290322580645161	0.029765311963365768
278	55_	0.1814516129032258	0.04693760732684602
279	olo	0.12903225806451613	0.06868918145392101
280	rai	0.09274193548387097	0.05037206639954207
281	mu_	0.008064516129032258	0.0
282	oce	0.03225806451612903	0.01316542644533486
283	356	0.04435483870967742	0.009730967372638809
284	ll-	0.028225806451612902	0.015455065827132226
285	021	0.08064516129032258	0.013737836290784202
286	nim	0.012096774193548387	0.0017172295363480253
287	0_w	0.012096774193548387	0.0028620492272467086
288	ubj	0.08064516129032258	0.02346880366342301
289	140	0.06048387096774194	0.018889524899828276
290	ou3	0.004032258064516129	0.0005724098454493417
291	94_	0.10887096774193548	0.027475672581568404
292	12k	0.004032258064516129	0.0
293	cti	0.11693548387096774	0.09845449341728678
294	ese	0.06451612903225806	0.026903262736119062
295	you	0.016129032258064516	0.0028620492272467086
296	de_	0.04838709677419355	0.03777904979965655
297	26_	0.2217741935483871	0.06868918145392101
298	80-	0.016129032258064516	0.0028620492272467086
299	smo	0.04838709677419355	0.007441327990841442
300	ble	0.028225806451612902	0.03033772180881511
301	132	0.07661290322580645	0.0206067544361763
302	22_	0.23387096774193547	0.08700629650829994
303	oca	0.09274193548387097	0.045220377790498
304	900	0.036290322580645164	0.0045792787635947334
305	s_o	0.06451612903225806	0.029765311963365768
306	336	0.056451612903225805	0.009158557527189467
307	lle	0.06451612903225806	0.019461934745277618
308	ood	0.15725806451612903	0.0824270177447052
309	cho	0.05241935483870968	0.018317115054378934
310	nce	0.16129032258064516	0.14310246136233543
311	79_	0.10887096774193548	0.035489410417859184
312	6-2	0.024193548387096774	0.009158557527189467
313	e_f	0.17338709677419356	0.0383514596451059
314	id_	0.1693548387096774	0.10475100171722954
315	cat	0.12096774193548387	0.09444762449914139
316	spe	0.036290322580645164	0.021179164281625643
317	alt	0.12096774193548387	0.06353749284487693
318	atm	0.16532258064516128	0.32054951345163135
319	p4b	0.004032258064516129	0.0
320	138	0.06854838709677419	0.017172295363480253
321	itu	0.04032258064516129	0.008586147681740127
322	opu	0.012096774193548387	0.009730967372638809
323	e2_	0.04838709677419355	0.03033772180881511
324	hit	0.04435483870967742	0.004006868918145392
325	pli	0.10080645161290322	0.07727532913566114
326	254	0.05241935483870968	0.010875787063537493
327	od_	0.17338709677419356	0.08986834573554665
328	12_	0.2782258064516129	0.14081282198053807
329	18a	0.004032258064516129	0.0022896393817973667
330	ano	0.04838709677419355	0.045220377790498
331	ury	0.020161290322580645	0.0011448196908986834
332	272	0.04838709677419355	0.010875787063537493
333	15_	0.25	0.11161991986262164
334	zym	0.004032258064516129	0.0011448196908986834
335	rga	0.04032258064516129	0.03033772180881511
336	atc	0.10887096774193548	0.03319977103606182
337	cyt	0.11290322580645161	0.09502003434459072
338	dgf	0.008064516129032258	0.0022896393817973667
339	lic	0.125	0.10360618202633086
340	2c5	0.004032258064516129	0.0
341	yte	0.08870967741935484	0.07842014882655982
342	28+	0.004032258064516129	0.0005724098454493417
343	urr	0.012096774193548387	0.0
344	4_y	0.024193548387096774	0.0011448196908986834
345	sta	0.2701612903225806	0.14481969089868346
346	cal	0.0967741935483871	0.06639954207212365
347	2_y	0.024193548387096774	0.0045792787635947334
348	527	0.020161290322580645	0.005724098454493417
349	370	0.03225806451612903	0.009730967372638809
350	6_7	0.012096774193548387	0.0011448196908986834
351	men	0.24596774193548387	0.35718374356038923
352	m09	0.012096774193548387	0.0011448196908986834
353	44_	0.14919354838709678	0.053806525472238124
354	e_1	0.09274193548387097	0.08013737836290784
355	en_	0.0967741935483871	0.03777904979965655
356	35y	0.004032258064516129	0.0005724098454493417
357	59-	0.016129032258064516	0.0028620492272467086
358	dat	0.06048387096774194	0.017172295363480253
359	tme	0.17338709677419356	0.3262736119061248
360	n-0	0.004032258064516129	0.0005724098454493417
361	cd2	0.008064516129032258	0.012020606754436176
362	25_	0.2217741935483871	0.07613050944476245
363	ite	0.07258064516129033	0.01602747567258157
364	-de	0.05241935483870968	0.07097882083571837
365	334	0.04435483870967742	0.010875787063537493
366	329	0.05241935483870968	0.01030337721808815
367	les	0.028225806451612902	0.013737836290784202
368	rci	0.08870967741935484	0.0755580995993131
369	05_	0.16532258064516128	0.05666857469948483
370	hum	0.29435483870967744	0.21236405266170577
371	yti	0.016129032258064516	0.006296508299942759
372	uce	0.056451612903225805	0.03777904979965655
373	l_w	0.028225806451612902	0.009158557527189467
374	m_t	0.016129032258064516	0.017172295363480253
375	ocy	0.11693548387096774	0.0824270177447052
376	1(p	0.004032258064516129	0.0
377	027	0.05241935483870968	0.008586147681740127
378	d_b	0.04838709677419355	0.03434459072696051
379	psa	0.008064516129032258	0.0005724098454493417
380	es5	0.004032258064516129	0.0011448196908986834
381	ura	0.04435483870967742	0.026903262736119062
382	ast	0.24193548387096775	0.18431597023468804
383	094	0.04032258064516129	0.006868918145392101
384	sy_	0.036290322580645164	0.014882655981682884
385	p2_	0.06048387096774194	0.17057813394390384
386	ncr	0.03225806451612903	0.0206067544361763
387	09_	0.14516129032258066	0.053806525472238124
388	02f	0.004032258064516129	0.0005724098454493417
389	day	0.06451612903225806	0.0824270177447052
390	olu	0.016129032258064516	0.0028620492272467086
391	abl	0.024193548387096774	0.009158557527189467
392	ed_	0.3870967741935484	0.4115626788780767
393	tad	0.012096774193548387	0.0017172295363480253
394	mar	0.15725806451612903	0.09788208357183743
395	9)_	0.016129032258064516	0.004006868918145392
396	st-	0.04838709677419355	0.01316542644533486
397	(1)	0.004032258064516129	0.0
398	ta_	0.04838709677419355	0.034917000572409845
399	074	0.036290322580645164	0.009730967372638809
400	11_	0.28225806451612906	0.14596451058958215
401	e_t	0.14112903225806453	0.07097882083571837
402	lun	0.06854838709677419	0.048654836863194044
403	01_	0.18548387096774194	0.06697195191757298
404	cle	0.0967741935483871	0.07212364052661706
405	n-u	0.008064516129032258	0.0
406	ls_	0.2620967741935484	0.361763022323984
407	cs_	0.07258064516129033	0.05151688609044076
408	l2_	0.03225806451612903	0.026903262736119062
409	tag	0.0967741935483871	0.044647967945048654
410	1_y	0.016129032258064516	0.004006868918145392
411	of_	0.10080645161290322	0.07040641099026904
412	um_	0.08064516129032258	0.07784773898111047
413	ima	0.125	0.06525472238122496
414	291	0.05241935483870968	0.012020606754436176
415	inn	0.004032258064516129	0.0017172295363480253
416	6_w	0.016129032258064516	0.004006868918145392
417	-20	0.06048387096774194	0.011448196908986834
418	ani	0.06451612903225806	0.008013737836290785
419	d_p	0.06854838709677419	0.04178591871780195
420	(cs	0.004032258064516129	0.0017172295363480253
421	t35	0.012096774193548387	0.0017172295363480253
422	sar	0.03225806451612903	0.029765311963365768
423	3/a	0.004032258064516129	0.0
424	tat	0.1774193548387097	0.10532341156267888
425	i-h	0.016129032258064516	0.008586147681740127
426	k3_	0.008064516129032258	0.004006868918145392
427	t1(	0.004032258064516129	0.0
428	6_y	0.016129032258064516	0.0017172295363480253
429	16_	0.23790322580645162	0.12249570692615913
430	vil	0.008064516129032258	0.0011448196908986834
431	750	0.024193548387096774	0.005151688609044075
432	aum	0.008064516129032258	0.0005724098454493417
433	c_r	0.036290322580645164	0.022323983972524327
434	45-	0.020161290322580645	0.006296508299942759
435	roz	0.024193548387096774	0.005724098454493417
436	l_1	0.04435483870967742	0.0589582140812822
437	151	0.056451612903225805	0.013737836290784202
438	d_f	0.09274193548387097	0.04693760732684602
439	102	0.09274193548387097	0.021179164281625643
440	e_m	0.0967741935483871	0.07384087006296508
441	tub	0.03225806451612903	0.008586147681740127
442	47_	0.17338709677419356	0.05437893531768746
443	rsi	0.04032258064516129	0.008586147681740127
444	6f9	0.004032258064516129	0.0
445	d_m	0.07661290322580645	0.05094447624499141
446	rvi	0.03225806451612903	0.011448196908986834
447	c3d	0.004032258064516129	0.0011448196908986834
