Importance	Ngram	Frequency in Race Columns	Frequency in Nonrace Columns
212	sio	0.019230769230769232	0.0331866870696251
213	cip	0.0	0.006312165263963275
214	str	0.019230769230769232	0.05374904361132364
215	ain	0.019230769230769232	0.025918133129303748
216	tog	0.0	0.0012433052792654934
217	an-	0.019230769230769232	0.009468247895944913
218	are	0.0	0.030126243305279264
219	cd6	0.0	0.0005738332058148432
220	egi	0.0	0.001434583014537108
221	rti	0.0	0.019892884468247895
222	umo	0.0	0.0797628156082632
223	-me	0.0	0.00612088752869166
224	ca_	0.019230769230769232	0.04007268553940321
225	-ra	0.019230769230769232	0.0008607498087222647
226	pdx	0.0	0.00889441469013007
227	nor	0.019230769230769232	0.27324024483550113
228	ase	0.0	0.20141545524100996
229	li-	0.0	0.0019127773527161439
230	rna	0.0	0.808530986993114
231	e_l	0.019230769230769232	0.011189747513389442
232	st_	0.019230769230769232	0.1784621270084162
233	-de	0.0	0.04533282325937261
234	ng_	0.019230769230769232	0.20763198163733743
235	ar_	0.0	0.051836266258607495
236	15_	0.038461538461538464	0.12796480489671003
237	ton	0.0	0.008033664881407804
238	esi	0.019230769230769232	0.04160290742157613
239	us_	0.0	0.08875286916602908
240	tis	0.019230769230769232	0.14336266258607497
241	ins	0.0	0.015971690895179802
242	rop	0.019230769230769232	0.03940321346595256
243	pea	0.019230769230769232	0.010137719969395562
244	lam	0.0	0.0076511094108645756
245	ori	0.0	0.016832440703902066
246	ast	0.038461538461538464	0.21040550879877581
247	tes	0.0	0.06838179035960214
248	-sm	0.019230769230769232	0.0021996939556235655
249	sea	0.0	0.02888293802601377
250	t_i	0.019230769230769232	0.030700076511094108
251	ane	0.057692307692307696	0.012528691660290742
252	uma	0.019230769230769232	0.10300306044376435
253	tab	0.0	0.010424636572302984
254	th_	0.019230769230769232	0.14317138485080336
255	e_o	0.0	0.013006885998469778
256	l_b	0.0	0.036725325172149964
257	no_	0.0	0.03471690895179801
258	ous	0.0	0.0358645753634277
259	ted	0.038461538461538464	0.7745791889824024
260	efi	0.0	0.00306044376434583
